,3,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
74,0.141191468798519,Equities,Directional Equity,20447
36,0.10353364056991429,Credit,Specialist Credit,18243
180,-0.032066010771933315,Other,Other Investments,12716
125,-0.09873834812764262,Equities,Specialist Equity,19083
191,-0.105864180885322,Quantitative,Non-Directional Quantitative,18762
145,-0.1300157988931322,Macro,Diversified Macro,12969
11,-0.1310383633104375,Credit,Fundamental Credit,16739
163,-0.24567055917371644,Multi-Strategy,Diversified Multi-Strategy,19246
194,-0.2888752835960993,Quantitative,Non-Directional Quantitative,18046
174,-0.29521593719450895,Multi-Strategy,Diversified Multi-Strategy,126
202,-0.3021985811002806,Relative Value,Diversified Relative Value,16267
148,-0.4420190649984415,Macro,Diversified Macro,15298
216,-0.47341371917843034,Relative Value,Option Volatility Arbitrage,16419
181,-0.6786736062794148,Other,Other Investments,12379
