,Fund,Alpha,Beta,Alpha_PValue
0,18998,0.0050384522108192845,0.2404979424398584,0.14018787076845832
1,17361,0.002737005279824181,0.10622224191636256,0.08354304907978409
2,2073,0.003779102697101657,-0.06498774633389397,0.016539285577670128
3,17517,0.0039117679226094645,-0.0026796659455724675,0.042268411012473084
4,16198,0.003363374885576951,0.017020788500398624,0.0434943381773688
5,19330,0.003128862319059851,0.055629711963368605,0.04168563924599148
6,13562,0.0034481045246492273,0.015473150621696595,0.026243458731139063
7,15833,0.003511782860741697,0.016406094353125754,0.02182292902981122
8,15485,0.0035189668401795645,0.01523665631599921,0.021447553203711348
9,15809,0.0035853159682662575,-0.010921121632357554,0.018413615926228838
10,16954,0.004288314838243553,0.039180599921639456,0.011307584416358218
11,16739,0.0042091204107471015,-0.017010228929571127,0.013535449432319317
12,12427,0.00273323228149511,0.10139578376246494,0.0678851231553488
13,14806,0.002291635300770957,0.1790369327580092,0.18390197689570847
14,18711,0.005803631753819386,0.05813396493403051,0.053867361948387184
15,15046,0.003312721274022462,0.04796645246904732,0.03882679961007751
16,13671,0.0026173712719505565,0.1818056415319046,0.13066858814151272
17,21523,0.003218880323531205,0.06939967452332547,0.0477987727443237
18,566,0.002786747157900359,0.1562604610024902,0.06871150395337956
19,13634,0.002463873252601167,0.23407257583404475,0.09516446459874804
20,24,0.002320982444192378,0.27813761641304807,0.11333252546090951
21,11029,0.00264867092298016,0.20735606067595114,0.0688254037619807
22,19044,-0.0004585446585848134,0.9715241860298375,0.6516851058277768
23,17547,0.0025722621011761765,0.2543781187996267,0.12496309316070836
24,16746,0.004077298158243398,-0.13834672296287776,0.009655029056422234
25,17319,0.0046491133958311065,0.08237074144273819,0.015028845969129625
26,18982,-0.0020615401073985724,2.557602180499369,0.14600938058599935
27,15682,0.0035785480628385486,-0.03595524041278337,0.018313941755666363
28,17326,0.003601934352389954,0.12599880631910754,0.01619763756827036
29,21289,0.0031624665725814485,0.06815212507893838,0.21878559183130047
30,7681,0.003598851646262675,-0.019385957283150044,0.019553900123940204
31,87,0.0029982643087657817,0.33678438357909524,0.04807938380821535
32,13353,0.0036469461100517393,-0.2180304255217703,0.01240650911241603
33,7563,0.003529906255815676,-0.0604773259775985,0.02011878046343003
34,18670,0.0032838189096801467,-0.09455137793048911,0.09527414874926217
35,19003,0.010039888090682755,-0.04478061445523735,0.07093461021604475
36,18243,0.0017340558192647495,0.12107693061776813,0.6058322333771309
37,17038,0.005024570098101047,-0.002015710138258963,0.006063864716682558
38,18486,0.012335674475819701,-0.28564573957715444,0.046536917386489754
39,16874,0.003444931685966111,0.11166029585417095,0.05992088026341157
40,18414,-0.0015607234596426134,0.5916822961381312,0.6591225825579856
41,15934,0.003448589988833001,0.012821999019909491,0.07635007064989792
42,17967,0.0032115343041075944,0.07581817851235455,0.17421966093086286
43,17239,0.0011963428507184405,0.3020197853873874,0.6571210920071642
44,17184,0.009065385742220803,-0.5958082810537154,0.0037084754717428827
45,16788,0.0032185274291083653,0.04932836770426895,0.07035680838814243
46,18081,-0.001957056301584215,1.1630838664968648,0.5401392551160796
47,17960,0.0014065084062421728,0.3917654584350826,0.44800915707167066
48,17898,0.0026415435568321235,0.16409215968495888,0.2495703053503689
49,16823,0.0034024735744727173,0.11368011054945912,0.029970926764412868
50,17626,0.00414306664847339,-0.0548066947944914,0.08888928108866612
51,12284,0.0034905171853470466,0.014195344971199918,0.02759678936989938
52,17192,0.004252319073201638,-0.13738108043633324,0.012813597095560746
53,18085,0.0016151106804486123,0.427897505509607,0.5107188911055042
54,14978,0.003570705483693374,-0.0014663435871009427,0.02333535788942969
55,15144,0.0037465170007937067,-0.08999121414518077,0.014990562793583554
56,14278,0.003710843650336925,0.13083139189993465,0.010534749151565324
57,17066,0.004011389031149953,-0.31115302583517856,0.016478461757953825
58,17835,0.0053704273540064185,0.018569630405974008,0.007431728806933934
59,17043,0.004953285973676103,-0.11771883585037471,0.0061987335214787895
60,18842,0.006579739430802397,0.23275332243124833,0.43912338765686143
61,16339,0.003080619300148758,0.056246709139113574,0.078917047655775
62,18440,-0.014247292506626576,2.5988795611989035,0.10566362864863914
63,18560,-0.00010721432485358176,0.5827804141905358,0.9666391562485879
64,16440,0.002558247247369076,0.1591157418500047,0.23939319478829962
65,14924,0.00321645177883972,0.07354648629223828,0.22339412664240046
66,11437,0.0022744247374855584,0.2915873387690377,0.1987261557549221
67,13494,0.0034809712881558466,-0.013805477142426852,0.024588106742536683
68,16976,0.003073765275850595,0.27274370885017857,0.46719290598485774
69,15142,0.0007656632404744392,0.4374127947625115,0.8449254209860662
70,16089,-0.000343402699340026,0.8366558428136699,0.9032459568385582
71,11251,0.0016783058064753255,0.6364471419582467,0.5497928408858253
72,9724,0.001551238738004564,0.8104374550253648,0.5728179154989677
73,9863,0.0047169811006002385,0.46081443551960644,0.16526047878747788
74,20447,0.0009235427862249784,0.2750129565463285,0.8716333166958112
75,21081,0.0009299975036537568,0.29180513191255963,0.8339908037265324
76,18876,-0.00270709253549582,0.8820532288219931,0.8319457414777703
77,18584,-0.0017878071396472887,0.7384342230276724,0.4718349636433983
78,18591,0.0015366052763006784,0.6322614062121744,0.8825894317250942
79,18942,-0.004636029614149864,1.2262713702182626,0.4031840188421326
80,14624,4.478962923908699e-05,0.6675252239454824,0.9889612390314725
81,20442,0.002688510026467307,0.41706367229206176,0.46553790457985855
82,18934,-0.00325468804624627,1.0904783310001713,0.34693804173322096
83,14332,-0.0007940343250093023,0.8704482067791133,0.8081967227328808
84,9695,0.0006705426152642468,0.758101208623613,0.8567859536523424
85,19300,-0.0005870130575293207,0.9267169389280377,0.8714175953586656
86,12917,0.0014049586805359238,0.6926453136815891,0.6699719031970637
87,7686,-0.0015579749427808635,1.1059008421857444,0.6306421604765207
88,42,-9.04641179854922e-06,0.9127388917435307,0.9978356091963444
89,14401,9.722207663609385e-05,0.9031723374545975,0.9753236804139639
90,8055,0.005175136709423721,0.23915102591300874,0.24076954156494662
91,7522,0.00399342981881492,0.48722322413882363,0.3430978377121675
92,18872,0.006936694731078912,0.6161016918792249,0.2314660261064755
93,13331,0.0048014218475130755,0.3600899645965323,0.22895266596607794
94,15659,0.0052363314765793,0.2944027388465242,0.12762671617643356
95,17514,0.006061696471798111,0.16536255563782173,0.16281885424876466
