,Mean_Excess_Returns,SD_Excess_Returns,Sharpe_Ratio,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund ID
0,-0.012519999847325188,0.019522779924104686,-0.6413021043108109,Credit,Distressed,18998
1,-0.002406666597303507,0.023096138664457675,-0.10420211933551873,Credit,Distressed,17361
2,-0.006911666685861224,0.01539852902766329,-0.4488523983975671,Credit,Distressed,2073
3,-0.03322619013518007,0.06291642596026353,-0.5281004066595409,Credit,Distressed,17517
4,0.0016533332610681336,0.029004668781988326,0.057002314816807724,Credit,Emerging Market Credit,16198
5,-0.0023599998782282148,0.033976340814760066,-0.06946009551455226,Credit,Emerging Market Credit,19330
6,-0.0026366665171645588,0.03752800674263676,-0.07025863471104524,Credit,Emerging Market Credit,13562
7,-0.006948333202962143,0.02860137245490913,-0.24293705534293453,Credit,Emerging Market Credit,15833
8,-0.007169999847173069,0.02859846898770391,-0.25071271648338433,Credit,Emerging Market Credit,15485
9,-0.008359999933711561,0.051742593845828744,-0.1615690152415022,Credit,Emerging Market Credit,15809
10,-0.013918868096371375,0.024562450568446612,-0.5666726150790433,Credit,Emerging Market Credit,16954
11,-0.0013127270855043426,0.03210621687093877,-0.040887006114151345,Credit,Fundamental Credit,16739
12,-0.0019983332077475897,0.03347679096254428,-0.059693093342890524,Credit,Fundamental Credit,12427
13,-0.003089999902010508,0.01351550601367516,-0.22862628294375414,Credit,Fundamental Credit,14806
14,-0.014111111238120224,0.02215658644552644,-0.6368811040822288,Credit,Fundamental Credit,18711
15,-0.004940000045543226,0.017473477072953453,-0.2827141973471135,Credit,Fundamental Credit,15046
16,-0.00498999990724648,0.012540091691512977,-0.3979237177845891,Credit,Fundamental Credit,13671
17,-0.005213333324725196,0.015489980251581542,-0.33656165082540435,Credit,Fundamental Credit,21523
18,-0.005221666588556254,0.01892457058907263,-0.27591995094310534,Credit,Fundamental Credit,566
19,-0.005498333426895552,0.01766480965222428,-0.31125913809114975,Credit,Fundamental Credit,13634
20,-0.0057300000537386705,0.017072856558203463,-0.335620464812341,Credit,Fundamental Credit,24
21,-0.005783333387191717,0.020014229685414994,-0.2889610780976605,Credit,Fundamental Credit,11029
22,-0.006061666644593546,0.011632083409029857,-0.5211161604883217,Credit,Fundamental Credit,19044
23,-0.006299999966810767,0.011403522880140241,-0.5524608520567365,Credit,Fundamental Credit,17547
24,-0.006501666627568192,0.015446601588382436,-0.4209124311497857,Credit,Fundamental Credit,16746
25,-0.009765217455205222,0.019510200265861703,-0.5005185657828471,Credit,Fundamental Credit,17319
26,-0.00800333332930614,0.008342600846316287,-0.9593331236553224,Credit,Fundamental Credit,18982
27,-0.009831666708798729,0.028100234166569333,-0.3498784618846842,Credit,Fundamental Credit,15682
28,-0.01049500000434035,0.019045641886136073,-0.5510446992064885,Credit,Fundamental Credit,17326
29,-0.01237857138053514,0.010786279620355419,-1.1476219619946448,Credit,Long/Short Credit,21289
30,-0.008466666643577628,0.01426352775155124,-0.5935885421232366,Credit,Long/Short Credit,7681
31,-0.008519999963747105,0.01164480999284088,-0.7316564176646181,Credit,Long/Short Credit,87
32,-0.009828333331126874,0.019544932105923115,-0.5028584022631823,Credit,Long/Short Credit,13353
33,-0.010786666733315214,0.017180477819627293,-0.6278443967950839,Credit,Long/Short Credit,7563
34,-0.022924138024462196,0.029126568903620746,-0.7870524709009745,Credit,Long/Short Credit,18670
35,0.02573333375271824,0.05354867049322552,0.48055971354085775,Credit,Specialist Credit,19003
36,-0.002008000079542399,0.017187505232575274,-0.11682905996948646,Credit,Specialist Credit,18243
37,0.003168750038999134,0.1949132105485533,0.016257235874783314,Credit,Specialist Credit,17038
38,-0.009192857168375382,0.009210898910407177,-0.9980412615307925,Credit,Specialist Credit,18486
39,-0.001081632705108853,0.03186682529410591,-0.033942279945561815,Credit,Specialist Credit,16874
40,-0.0077677419895486495,0.008594010835939223,-0.9038552705873715,Credit,Specialist Credit,18414
41,-0.0011099999938160186,0.013449717476363778,-0.082529614154848,Credit,Specialist Credit,15934
42,-0.010299999864344243,0.01705281563793014,-0.6040058183373669,Credit,Specialist Credit,17967
43,-0.0023600000025611376,0.0097104788771826,-0.24303641791617472,Credit,Specialist Credit,17239
44,-0.006158695627024154,0.007650193983154368,-0.8050378383326651,Credit,Specialist Credit,17184
45,-0.003576271106315365,0.013404582612014446,-0.2667946634242811,Credit,Specialist Credit,16788
46,-0.010197142800019522,0.006380796482208501,-1.5980987371172384,Credit,Specialist Credit,18081
47,-0.01399166659149341,0.017824115880093132,-0.7849851676020579,Credit,Specialist Credit,17960
48,-0.012789285621313111,0.011188142350616959,-1.1431107346080431,Credit,Specialist Credit,17898
49,-0.005485454676941841,0.03130755585180664,-0.17521184671544063,Credit,Specialist Credit,16823
50,-0.014187999895540995,0.016959040456936737,-0.8366039300140766,Credit,Specialist Credit,17626
51,-0.004943333325975884,0.018187783285933158,-0.27179416250242927,Credit,Specialist Credit,12284
52,-0.0052016666480863925,0.01515136403076981,-0.343313422971206,Credit,Specialist Credit,17192
53,-0.013268965539204133,0.006890378250840154,-1.925723821850597,Credit,Specialist Credit,18085
54,-0.006438333273361592,0.0179837617708978,-0.35800814953968174,Credit,Specialist Credit,14978
55,-0.008188333285649035,0.01585962458884539,-0.5163005744416023,Credit,Specialist Credit,15144
56,-0.011316666671927862,0.028600065398677807,-0.3956867410677682,Credit,Specialist Credit,14278
57,-0.013358823521826966,0.01556344608860067,-0.8583461172915642,Credit,Specialist Credit,17066
