,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
68,Equities,Activism,16976
191,Quantitative,Non-Directional Quantitative,18762
123,Equities,Specialist Equity,508
209,Relative Value,Diversified Relative Value,7107
186,Quantitative,Directional Quantitative,14153
202,Relative Value,Diversified Relative Value,16267
38,Credit,Specialist Credit,18486
6,Credit,Emerging Market Credit,13562
174,Multi-Strategy,Diversified Multi-Strategy,126
152,Macro,Diversified Macro,17784
162,Macro,Specialist Macro,16789
167,Multi-Strategy,Diversified Multi-Strategy,9699
182,Other,Other Investments,12214
180,Other,Other Investments,12716
