,0,1,2,3,4,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
0,,,,-2.7177453640558804,-0.4356941302778759,Credit,Distressed,18998
1,-0.44404721096738065,1.038399957314152,0.455757564006788,-0.7743546734391303,-1.0524838883240277,Credit,Distressed,17361
2,-0.13266351808683066,0.45907109743906926,-0.4379276319006502,-1.1881967204239692,-1.2171253713124786,Credit,Distressed,2073
3,,0.9801941895169906,-0.2636429612162318,-1.8315654400796835,-0.9377378537908482,Credit,Distressed,17517
4,0.3048922769668896,0.8814505144472252,0.4838772576026689,-0.9758228452512213,-0.4461993953492543,Credit,Emerging Market Credit,16198
5,0.5480052358071501,-0.04470786022500229,-0.14326508266314084,-0.7022298408144237,-0.14645223442686556,Credit,Emerging Market Credit,19330
6,0.40556570267787106,0.6843875434886307,1.1756159329228433,-1.1091275709047042,-0.2925076909850401,Credit,Emerging Market Credit,13562
7,0.15128361230246196,0.5252813835711652,0.04345294786718356,-1.079691063609928,-0.682180936120995,Credit,Emerging Market Credit,15833
8,0.15091796065461788,0.5119825366860002,0.03258899774008408,-1.073779844593425,-0.7000733265628757,Credit,Emerging Market Credit,15485
9,0.12207724217535414,0.5994433686352403,0.4492816739422365,-0.9563509351986385,-0.4318363155436206,Credit,Emerging Market Credit,15809
10,-0.01732546220499823,0.05280121232803914,-1.3146482177745975,-1.8026491702808625,-1.1586414504392026,Credit,Emerging Market Credit,16954
11,0.579544833678905,0.3831726779704466,0.27441189503666397,-0.1310383633104375,-1.3305980639843884,Credit,Fundamental Credit,16739
12,0.16014408525926527,0.6468442812053493,-0.03538375818321858,-1.412693329671292,-0.5860237016183258,Credit,Fundamental Credit,12427
13,0.5080483098210573,0.7885096470940977,-0.11763354592284284,-0.9749358113246485,-0.5646365272167231,Credit,Fundamental Credit,14806
14,,,,-1.3162597955544322,-0.406060329822181,Credit,Fundamental Credit,18711
15,-0.6239049750151959,0.7188813322559021,0.30939537654040167,-0.9480917430240895,-1.5801570344524438,Credit,Fundamental Credit,15046
16,0.05929693077892895,0.9043769256294074,-0.1537324832881317,-1.5523958562901023,-1.8277184461442169,Credit,Fundamental Credit,13671
17,-0.48172606041995375,0.8520312628199712,0.039814630534035333,-1.0880238390969792,-1.5979048837533771,Credit,Fundamental Credit,21523
18,-0.14553012464123696,0.4537563612441695,0.18355922328396565,-1.2181184462015495,-0.6728090159701361,Credit,Fundamental Credit,566
19,-0.29401949353386275,0.4292307864162274,0.2578956153884553,-0.9712817269040712,-0.7272623126621475,Credit,Fundamental Credit,13634
20,-0.16112191574744705,0.3543391852984399,0.3380554431595976,-1.185692302931042,-0.835829320062065,Credit,Fundamental Credit,24
21,-0.32893482550784287,0.32818769589528657,0.37598942096183413,-1.0363324230801354,-0.553137987939189,Credit,Fundamental Credit,11029
22,0.015697407632523173,0.3075779009704719,-0.5364236087889733,-4.062790963822696,-1.856415870259796,Credit,Fundamental Credit,19044
23,0.04991498493258679,0.8675239614538192,-0.7571149757458095,-1.8443916957973567,-1.7041305359681866,Credit,Fundamental Credit,17547
24,-0.14848381296683347,0.4114702137634621,-0.30781814802023866,-1.2289361361515234,-2.1221703674927976,Credit,Fundamental Credit,16746
25,,-0.1200406593242495,0.08021954265047498,-1.2272246728662974,-0.7082102314457756,Credit,Fundamental Credit,17319
26,-0.0894249781604366,0.0939753678929038,-2.059207228796535,-5.6121857465957525,-5.219504162222373,Credit,Fundamental Credit,18982
27,0.2835319411251954,-0.1784885911416676,-0.35972616478964237,-0.5763594560453794,-0.976290246898068,Credit,Fundamental Credit,15682
28,-0.552873269646397,0.42961426543940284,-0.872833716631771,-1.498210455141497,-1.6791860693481018,Credit,Fundamental Credit,17326
29,,,0.5040889572480189,-1.6413857360888342,-2.0682874662958044,Credit,Long/Short Credit,21289
30,0.05702048385697093,-0.09464092331746048,-0.22873008476065326,-1.7455832174095685,-1.7478592763335514,Credit,Long/Short Credit,7681
31,-0.6214655576807167,0.5594302565131268,-0.7351886022290621,-1.8710797803687056,-1.832213572012263,Credit,Long/Short Credit,87
32,0.13501253074082745,0.3932926394967413,-1.31650410439927,-1.2872488449121402,-1.8280101115438046,Credit,Long/Short Credit,13353
33,0.011738296847009288,0.21634477941939775,-0.9107569881270657,-2.47271657104894,-2.6281317905846535,Credit,Long/Short Credit,7563
34,,,-0.9668009422547156,-0.2953088964995797,-1.803085988976967,Credit,Long/Short Credit,18670
35,,,,,0.48055971354085775,Credit,Specialist Credit,19003
36,,,inf,0.10353364056991429,-0.6370541686318734,Credit,Specialist Credit,18243
37,,0.15125559759791246,-0.33128934001668303,-0.6314575199388738,0.0772508878651504,Credit,Specialist Credit,17038
38,,,,-4.247311629997595,-0.8658317632227602,Credit,Specialist Credit,18486
39,-inf,0.5690457339377937,0.100746362564371,-1.0672790890646873,-1.4199409982504716,Credit,Specialist Credit,16874
40,,,0.5999618520835885,-1.4506644139010767,-4.3097809982573,Credit,Specialist Credit,18414
41,1.1424321604721428,2.760140114251863,-0.028173042651454056,-2.2734207241894913,-0.30626899336872154,Credit,Specialist Credit,15934
42,,,-1.4836693810386037,-0.3465398516571548,-0.7640971219592713,Credit,Specialist Credit,17967
43,1.337060250089669,1.2480163332524825,-0.4640741415887234,-1.0436273274752355,-1.7204069094920302,Credit,Specialist Credit,17239
44,,0.32619231233001084,-0.8590529055030055,-1.8322092045626097,-1.4937368275285663,Credit,Specialist Credit,17184
45,0.9725903243616363,1.770822083347328,-0.627906398690612,-2.326157613035715,-0.37499834627185125,Credit,Specialist Credit,16788
