,Alpha,Beta,Alpha P-Value
18353,-0.020951202,0.447532678,2.60E-06
12598,-0.012678887,0.273140235,0.002435288
12190,-0.010606618,-0.080108015,0.00397173
12969,-0.001847252,0.521099417,0.600633813
19201,-0.009967771,0.267677835,0.041860174
17164,-0.00924413,0.191841448,0.003458342
15298,-0.008808751,0.145198221,0.028575697
9939,-0.008099509,0.00040772,0.00037793
9992,-0.01021564,0.24876361,0.006811604
18708,-0.020302514,-0.003474266,4.28E-05
17784,-0.017991349,0.206294603,0.001169954
14311,-0.018135893,0.248082606,0.005921661
13683,-0.02123543,0.286034328,0.003495311
16583,-0.001025951,0.043175727,0.796601801
15363,-0.003002012,-0.042033363,0.491955888
13152,-0.004667045,0.024443231,0.111788567
17179,-0.008674992,0.060128933,0.116124515
15853,-0.00771385,0.083522628,0.008579105
18252,-0.020497292,0.160606858,0.023358841
14490,-0.009392818,0.17638741,0.000198396
16789,-0.010006206,0.110640652,0.052272497
19246,0.003461468,0.088737334,0.223871984
14751,-0.000355865,-0.018048128,0.909187983
15111,-0.002067145,-0.008539255,0.268335912
46,-0.005733216,0.187682539,0.00031545
9699,-0.005708165,0.172850671,0.000169622
44,-0.005602335,0.06106838,0.00266019
13009,-0.009130433,0.53279375,0.012057967
7693,-0.008054427,0.324865011,0.000106717
1786,-0.006974624,0.079090694,2.00E-06
15132,-0.008705307,0.117924016,3.96E-06
13668,-0.009304542,0.184286231,0.000325195
126,-0.012407619,0.386773622,0.026146024
15616,-0.013335134,0.496167397,7.83E-05
9806,-0.014160724,0.430019223,2.74E-06
18696,-0.013340285,0.308011391,0.008363004
11318,-0.00257661,0.050204384,0.376105694
12298,-0.006292612,0.19453012,0.296987888
12716,-0.011451323,-0.137775231,0.113220058
12379,-0.018020119,0.667127131,0.020350427
12214,-0.027016635,0.42920071,0.000237271
11795,-0.024617242,0.018015626,0.001850464
12307,-0.037665203,0.07893455,1.76E-05
17130,-0.000104122,0.228221838,0.977419651
14153,-0.00729999,0.227389897,0.319887371
15848,-0.008793899,0.110548917,0.011260911
15035,-0.009993448,0.236732907,0.080969546
12276,-0.009291712,0.089193669,0.006365667
18111,-0.018367732,0.11270872,0.00043624
18762,0.004233645,-0.064936274,0.655025948
17466,-0.002610377,-0.026247751,0.55576369
17462,-0.006003187,-0.066728749,0.149888594
18046,-0.008201625,0.034287992,0.014093383
18292,-0.006064552,0.015477748,0.09134729
18323,-0.007011335,0.020037477,0.000934568
17822,-0.007663174,0.082708292,0.026387563
18334,-0.020200828,0.086404554,6.65E-07
19058,-0.021670209,-0.108817538,0.007858661
19218,-0.011582687,-0.140380114,1.09E-08
9869,-0.007644629,0.146280631,5.49E-06
16267,0.000779386,0.135423014,0.760419599
84,-0.001620798,0.069694777,0.474328948
18905,-0.002285989,0.078090969,0.333514696
17693,-0.002579366,0.10368173,0.13371703
