,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
65,Credit,Structured Credit,14924
43,Credit,Specialist Credit,17239
119,Equities,Low Net Equity,16915
75,Equities,Directional Equity,21081
163,Multi-Strategy,Diversified Multi-Strategy,19246
207,Relative Value,Diversified Relative Value,19076
203,Relative Value,Diversified Relative Value,84
165,Multi-Strategy,Diversified Multi-Strategy,15111
196,Quantitative,Non-Directional Quantitative,18323
145,Macro,Diversified Macro,12969
183,Other,Other Investments,11795
159,Macro,Emerging Market Macro,15853
178,Other,Other Investments,11318
185,Quantitative,Directional Quantitative,17130
