,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
74,Equities,Directional Equity,20447
36,Credit,Specialist Credit,18243
145,Macro,Diversified Macro,12969
125,Equities,Specialist Equity,19083
11,Credit,Fundamental Credit,16739
180,Other,Other Investments,12716
163,Multi-Strategy,Diversified Multi-Strategy,19246
202,Relative Value,Diversified Relative Value,16267
194,Quantitative,Non-Directional Quantitative,18046
195,Quantitative,Non-Directional Quantitative,18292
206,Relative Value,Diversified Relative Value,18894
178,Other,Other Investments,11318
165,Multi-Strategy,Diversified Multi-Strategy,15111
146,Macro,Diversified Macro,19201
