,0,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
65,1.8120702193477203,Credit,Structured Credit,14924
158,1.651012779473689,Macro,Emerging Market Macro,17179
43,1.337060250089669,Credit,Specialist Credit,17239
119,1.3134848975374265,Equities,Low Net Equity,16915
75,1.3075347403342952,Equities,Directional Equity,21081
163,1.243858448283736,Multi-Strategy,Diversified Multi-Strategy,19246
207,1.1121571338565441,Relative Value,Diversified Relative Value,19076
203,1.0180918984124068,Relative Value,Diversified Relative Value,84
165,0.8107072054088132,Multi-Strategy,Diversified Multi-Strategy,15111
196,0.7624332027216741,Quantitative,Non-Directional Quantitative,18323
145,0.4754352277165837,Macro,Diversified Macro,12969
183,0.469173122235202,Other,Other Investments,11795
178,0.4144048370090084,Other,Other Investments,11318
185,0.413711096931456,Quantitative,Directional Quantitative,17130
