,Mean_Excess_Returns,SD_Excess_Returns,Sharpe_Ratio,Fund ID
0,-0.012519999847325188,0.01952277992410469,-0.6413021043108108,18998
1,-0.0024066665973035074,0.02309613866445768,-0.10420211933551875,17361
2,-0.006911666685861225,0.01539852902766329,-0.44885239839756713,2073
3,-0.03322619013518007,0.06291642596026352,-0.528100406659541,17517
4,0.0016533332610681336,0.029004668781988326,0.057002314816807724,16198
5,-0.0023599998782282148,0.033976340814760066,-0.06946009551455226,19330
6,-0.0026366665171645588,0.03752800674263676,-0.07025863471104524,13562
7,-0.006948333202962143,0.02860137245490913,-0.24293705534293453,15833
8,-0.007169999847173069,0.02859846898770391,-0.25071271648338433,15485
9,-0.008359999933711561,0.051742593845828744,-0.1615690152415022,15809
10,-0.013918868096371375,0.024562450568446612,-0.5666726150790433,16954
11,-0.0013127270855043426,0.03210621687093877,-0.040887006114151345,16739
12,-0.0019983332077475892,0.03347679096254428,-0.05969309334289051,12427
13,-0.003089999902010508,0.01351550601367516,-0.22862628294375414,14806
14,-0.014111111238120224,0.022156586445526445,-0.6368811040822286,18711
15,-0.004940000045543226,0.017473477072953453,-0.2827141973471135,15046
16,-0.00498999990724648,0.012540091691512977,-0.3979237177845891,13671
17,-0.005213333324725196,0.015489980251581542,-0.33656165082540435,21523
18,-0.005221666588556255,0.01892457058907263,-0.2759199509431054,566
19,-0.005498333426895552,0.017664809652224285,-0.31125913809114963,13634
20,-0.0057300000537386705,0.017072856558203463,-0.335620464812341,24
21,-0.005783333387191717,0.020014229685414994,-0.2889610780976605,11029
22,-0.006061666644593546,0.011632083409029857,-0.5211161604883217,19044
23,-0.006299999966810767,0.011403522880140241,-0.5524608520567365,17547
24,-0.006501666627568192,0.015446601588382434,-0.42091243114978577,16746
25,-0.009765217455205222,0.019510200265861706,-0.500518565782847,17319
26,-0.00800333332930614,0.008342600846316287,-0.9593331236553224,18982
27,-0.009831666708798729,0.028100234166569333,-0.3498784618846842,15682
28,-0.01049500000434035,0.019045641886136073,-0.5510446992064885,17326
29,-0.01237857138053514,0.010786279620355419,-1.1476219619946448,21289
30,-0.008466666643577628,0.01426352775155124,-0.5935885421232366,7681
31,-0.008519999963747105,0.011644809992840878,-0.7316564176646182,87
32,-0.009828333331126874,0.019544932105923115,-0.5028584022631823,13353
33,-0.010786666733315214,0.017180477819627296,-0.6278443967950836,7563
34,-0.022924138024462196,0.029126568903620746,-0.7870524709009745,18670
35,0.02573333375271824,0.05354867049322552,0.48055971354085775,19003
36,-0.0020080000795423985,0.017187505232575274,-0.11682905996948643,18243
37,0.003168750038999134,0.19491321054855326,0.016257235874783317,17038
38,-0.009192857168375382,0.009210898910407177,-0.9980412615307925,18486
39,-0.0010816327051088523,0.03186682529410591,-0.033942279945561794,16874
40,-0.0077677419895486495,0.008594010835939223,-0.9038552705873715,18414
41,-0.0011099999938160186,0.013449717476363778,-0.082529614154848,15934
42,-0.010299999864344243,0.01705281563793014,-0.6040058183373669,17967
43,-0.0023600000025611376,0.0097104788771826,-0.24303641791617472,17239
44,-0.006158695627024154,0.007650193983154368,-0.8050378383326651,17184
45,-0.003576271106315366,0.013404582612014446,-0.2667946634242812,16788
46,-0.010197142800019522,0.006380796482208501,-1.5980987371172384,18081
47,-0.01399166659149341,0.017824115880093132,-0.7849851676020579,17960
48,-0.012789285621313111,0.011188142350616959,-1.1431107346080431,17898
49,-0.005485454676941841,0.03130755585180664,-0.17521184671544063,16823
50,-0.014187999895540995,0.016959040456936737,-0.8366039300140766,17626
51,-0.004943333325975885,0.018187783285933158,-0.2717941625024293,12284
52,-0.005201666648086393,0.01515136403076981,-0.34331342297120604,17192
53,-0.013268965539204133,0.006890378250840154,-1.925723821850597,18085
54,-0.006438333273361592,0.0179837617708978,-0.35800814953968174,14978
55,-0.008188333285649035,0.01585962458884539,-0.5163005744416023,15144
56,-0.011316666671927862,0.028600065398677807,-0.3956867410677682,14278
57,-0.013358823521826966,0.01556344608860067,-0.8583461172915642,17066
58,-0.030711764998471038,0.04362651476632962,-0.7039701695853545,17835
59,0.0015883333413221404,0.023404544265683745,0.06786431401063381,17043
60,-0.011219999980814754,0.005169874266050936,-2.170265542915277,18842
61,-0.001588333322349936,0.017415195432569384,-0.09120387586231056,16339
62,-0.011862962888608927,0.0033473204451858027,-3.5440176950105053,18440
63,-0.004182142858395153,0.009626583532467752,-0.43443687412984733,18560
64,-0.0038750000023663354,0.011186310456147057,-0.3464055478843751,16440
65,-0.005461666684914768,0.009766338297113122,-0.5592338211885624,14924
66,-0.00577666663386859,0.010652376423373335,-0.5422890070983116,11437
67,-0.016303333425713547,0.03269375575322656,-0.4986681110843181,13494
68,0.0040833333469353006,0.047412668090847654,0.08612325590095889,16976
69,0.003981666664729513,0.043049198512478556,0.09249107538146982,15142
70,-0.0014616667382884778,0.031840367874311146,-0.04590608827317453,16089
71,-0.0018883334252888246,0.04197783129225464,-0.044984063424859264,11251
72,-0.0035166668154844464,0.03301441162036317,-0.10651914248610685,9724
73,-0.005313333239928663,0.04770805812344981,-0.11137181953999957,9863
74,0.01866904772868757,0.048134209467340594,0.3878540425880403,20447
75,0.010496666663546737,0.04629249428293946,0.2267466211561462,21081
76,-0.0010000000691041348,0.029732809791185696,-0.03363288152472509,18876
77,-0.0007638889346168264,0.04309322684422921,-0.01772642687859245,18584
78,-0.008666666549630463,0.03137059867329832,-0.2762671710504288,18591
79,-0.003924324417767442,0.0184051903547404,-0.21321835537314626,18942
80,0.00017166652533846534,0.03606775167592754,0.004759557149026275,14624
81,6.333334452472515e-05,0.04516744049029552,0.0014021902467183784,20442
82,-0.0008266667009928886,0.022897022038016527,-0.0361036775708366,18934
83,-0.001283333271442291,0.027290304503409076,-0.04702524558793319,14332
84,-0.0018933332351843512,0.026885819598964553,-0.07042125787592761,9695
85,-0.002048333167258339,0.02307808854901249,-0.08875662136871328,19300
86,-0.0021683333948859934,0.03363600533340159,-0.06446465248751675,12917
87,-0.0024916666532913225,0.022846993105529637,-0.1090588438392038,7686
88,-0.0025566665721529474,0.02617474201119601,-0.0976768585172437,42
89,-0.0025933331465829803,0.026893902115887797,-0.0964282957306871,14401
90,-0.002696666711034874,0.033140035862516196,-0.08137187063472678,8055
91,-0.004093333302484631,0.02515639000669403,-0.16271544929123014,7522
92,-0.009352631560141392,0.019146302999169057,-0.4884823749288462,18872
93,-0.00418000000259063,0.04303592219882013,-0.0971281615223579,13331
94,-0.004313332908921484,0.07280622986615307,-0.05924400860820719,15659
95,-0.004708333222634781,0.04522702492275555,-0.10410442054670342,17514
96,-0.00496999983521644,0.035328691329427155,-0.14067885472668676,7580
97,-0.0052133334562182426,0.028795703027685,-0.18104553485657207,162
98,-0.005916666502042983,0.03619247685387183,-0.16347780026030534,12804
99,-0.006920000172964064,0.02606651635181674,-0.2654746832896896,16336
100,-0.007658333380843202,0.03169956511505232,-0.24159111814460493,15666
101,-0.019761110890449747,0.030973109068426048,-0.6380086302215686,18614
102,-0.016059375055818236,0.021315851595612553,-0.7534005847143231,18512
103,0.009769999787975102,0.026039587013767337,0.37519795466839106,18825
104,-0.0008383330733173838,0.03352420588935163,-0.02500679885108525,15589
105,-0.0027533333961960566,0.03450388608189034,-0.0797977766811944,11561
106,-0.003098333176398493,0.023285936473765374,-0.13305598337817193,18506
107,-0.0033150001919091056,0.036057097438258516,-0.0919375220810678,14331
108,-0.003616666587158494,0.02856120446197719,-0.12662864382954406,12595
109,-0.004036666684459583,0.02323558296716525,-0.17372779887485038,16470
110,-0.004133333335435794,0.017145909871648924,-0.24106818281311138,17974
111,-0.005686666745647477,0.01672014210564777,-0.34010875683446623,7676
112,-0.006198333274189305,0.022279830378483936,-0.27820379100260817,17331
113,-0.00655666655950578,0.01753800994170348,-0.3738546494898911,11947
114,-0.006684999937782995,0.022314918920389365,-0.2995753630847766,11765
115,-0.007279999914787089,0.020470212908146986,-0.3556387003620126,13805
