,2,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
127,1.2979171404597631,Equities,Specialist Equity,15493
6,1.1756159329228433,Credit,Emerging Market Credit,13562
106,1.0470023432754816,Equities,Event Driven,18506
155,0.6163904648635394,Macro,Emerging Market Macro,16583
40,0.5999618520835885,Credit,Specialist Credit,18414
156,0.598635407955841,Macro,Emerging Market Macro,15363
208,0.45428177930686187,Relative Value,Diversified Relative Value,12781
163,0.36742236033928743,Multi-Strategy,Diversified Multi-Strategy,19246
178,0.36009224578010984,Other,Other Investments,11318
186,0.3490905496113362,Quantitative,Directional Quantitative,14153
179,0.3343566521139795,Other,Other Investments,12298
194,0.2500573472809254,Quantitative,Non-Directional Quantitative,18046
173,0.2435615789790124,Multi-Strategy,Diversified Multi-Strategy,13668
202,0.19063968117888405,Relative Value,Diversified Relative Value,16267
