,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
68,Equities,Activism,16976
74,Equities,Directional Equity,20447
191,Quantitative,Non-Directional Quantitative,18762
186,Quantitative,Directional Quantitative,14153
202,Relative Value,Diversified Relative Value,16267
209,Relative Value,Diversified Relative Value,7107
37,Credit,Specialist Credit,17038
174,Multi-Strategy,Diversified Multi-Strategy,126
162,Macro,Specialist Macro,16789
146,Macro,Diversified Macro,19201
181,Other,Other Investments,12379
5,Credit,Emerging Market Credit,19330
182,Other,Other Investments,12214
170,Multi-Strategy,Diversified Multi-Strategy,7693
