,0
0,1.0056785717617986
1,1.0072876573260106
2,1.0132234594997576
3,1.0023819683250037
4,1.0208759157158167
5,1.03113571881708
6,1.0347520591428123
7,1.0356315984120685
8,1.0393746670799906
9,1.0368133508724418
10,1.0342361290709134
11,1.0456496636245312
12,1.002357142865658
13,1.00124023087124
14,0.9952184857989238
15,0.9944223107766672
16,0.997270620238247
17,0.9897483505695736
18,0.9858247054194789
19,0.9786704346880559
20,0.9720783902485198
21,0.972925487795062
22,0.9719525625948655
23,0.99131524676641
24,1.0178857138568003
25,0.9935800568672626
26,0.9836016744143985
27,0.9694237586784558
28,0.9578876160425014
29,0.9310188681788549
30,0.9204185531337846
31,0.9066188488813153
32,0.8985564168600644
33,0.871195373776293
34,0.8493408156163013
35,0.8299030448363989
36,0.9937142859070695
37,0.9790144125323742
38,0.9666228872752941
39,0.958164937074504
40,0.9455650681796629
41,0.9378046807371393
42,0.9241931155233954
43,0.9051811427438835
44,0.8881960650941785
45,0.8788192521468329
46,0.8789573524914882
47,0.8777895949752823
