,1,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
41,2.760140114251863,Credit,Specialist Credit,15934
45,1.770822083347328,Credit,Specialist Credit,16788
204,0.9391520317254654,Relative Value,Diversified Relative Value,18905
147,0.813411344068728,Macro,Diversified Macro,17164
205,0.7584985417507436,Relative Value,Diversified Relative Value,17693
171,0.7081703947865585,Multi-Strategy,Diversified Multi-Strategy,1786
169,0.690896518300901,Multi-Strategy,Diversified Multi-Strategy,13009
145,0.6379156016755421,Macro,Diversified Macro,12969
82,0.5853299555538961,Equities,Directional Equity,18934
92,0.5423728805174476,Equities,Directional Equity,18872
185,0.4192537801677837,Quantitative,Directional Quantitative,17130
192,0.16371170418005357,Quantitative,Non-Directional Quantitative,17466
178,0.15955040065485923,Other,Other Investments,11318
179,-0.17237345641405774,Other,Other Investments,12298
