,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
59,Credit,Structured Credit,17043
75,Equities,Directional Equity,21081
119,Equities,Low Net Equity,16915
163,Multi-Strategy,Diversified Multi-Strategy,19246
164,Multi-Strategy,Diversified Multi-Strategy,14751
5,Credit,Emerging Market Credit,19330
145,Macro,Diversified Macro,12969
216,Relative Value,Option Volatility Arbitrage,16419
185,Quantitative,Directional Quantitative,17130
178,Other,Other Investments,11318
192,Quantitative,Non-Directional Quantitative,17466
205,Relative Value,Diversified Relative Value,17693
179,Other,Other Investments,12298
155,Macro,Emerging Market Macro,16583
