,0,1,2,3,4,Hedge_Fund_Strategy,Hedge_Fund_Sub_Strategy,Fund_ID
0,,,,,-0.01248642642931778,Credit,Distressed,18998
1,-0.0057379125966461626,0.022014877426844888,0.0035266559337977267,-0.016112125926697068,-0.012615049199798905,Credit,Distressed,17361
2,-0.002576165027401511,0.005982963658971628,-0.0041469808071671116,-0.01895677794721155,-0.013175466479721147,Credit,Distressed,2073
3,,,-0.016559784662646248,-0.07118333478163204,-0.05847962975951927,Credit,Distressed,17517
4,0.009372536716448616,0.023726217552095405,0.012104898386938248,-0.018571009343193546,-0.016638883346235502,Credit,Emerging Market Credit,16198
5,0.02164507394273249,-0.0023429292070191836,-0.018951195581707707,-0.019188134754579502,-0.00679431299214486,Credit,Emerging Market Credit,19330
6,0.014640903075532403,0.00987659995377964,0.008845836617478304,-0.025360360854577615,-0.004438236611047663,Credit,Emerging Market Credit,13562
7,0.0067023015461905545,0.01046384641864793,-0.0012246215860388914,-0.02446914331369164,-0.015333628016271396,Credit,Emerging Market Credit,15833
8,0.006695073817755171,0.010072182729075355,-0.0017684922853023317,-0.02469186250032966,-0.015702109268627897,Credit,Emerging Market Credit,15485
9,0.006078291193657687,0.013548204434718577,0.01338302083543385,-0.028919623683798912,-0.017164027567733275,Credit,Emerging Market Credit,15809
10,,0.0018268071961566406,-0.015610852445317857,-0.022506727415634004,-0.031299478356104984,Credit,Emerging Market Credit,16954
11,,0.0031880441617929143,0.025734763691504917,-0.002424018665519335,-0.00998533597422981,Credit,Fundamental Credit,16739
12,0.010770321208847394,0.01638053823321677,0.017293304064228,-0.023729628978144412,-0.011979436863480006,Credit,Fundamental Credit,12427
13,0.0036403601323483784,0.005168610228141612,-0.0030636796292385984,-0.013818430805909781,-0.01562364493151896,Credit,Fundamental Credit,14806
14,,,,,-0.008892625150020362,Credit,Fundamental Credit,18711
15,-0.0072293163929673995,0.01200142615487865,0.0018026815447092183,-0.01359079711684235,-0.01711013481334764,Credit,Fundamental Credit,15046
16,0.0011312679393769912,0.006744201292895102,-0.002683677406380813,-0.018480700112440983,-0.01145500184945927,Credit,Fundamental Credit,13671
17,-0.0048971962796793,0.010907230617369663,-0.0007033318243793168,-0.013607633527425101,-0.017355715487621243,Credit,Fundamental Credit,21523
18,-0.0009353066506555983,0.006799965993329313,0.0010541752791869297,-0.017678672159823564,-0.01717263240614969,Credit,Fundamental Credit,566
19,-0.004092627948856495,0.0049515594055718455,-0.0005957338930808968,-0.017195118657849912,-0.01720374657077927,Credit,Fundamental Credit,13634
20,-0.0006245235268624188,0.003953414699069525,-0.00011941275639284566,-0.02063285771704846,-0.018447629049234585,Credit,Fundamental Credit,24
21,-0.005249055148314735,0.00453692553605746,-0.003150501786326288,-0.02061796211695898,-0.01797088976285874,Credit,Fundamental Credit,11029
22,0.0019555597121227158,0.0010787004801521742,-0.007378590425146688,-0.018203674039533903,-0.017236936619986723,Credit,Fundamental Credit,19044
23,0.0008359632181211302,0.004478079958473227,-0.004714304757266682,-0.018417206485768077,-0.012351954333405298,Credit,Fundamental Credit,17547
24,-0.0025259148364615326,0.007850145712953428,-0.004045640116249993,-0.014626885654903082,-0.018259381517309253,Credit,Fundamental Credit,16746
25,,,-0.0033450881322764124,-0.023636813247673676,-0.009535505793689425,Credit,Fundamental Credit,17319
26,0.00011849174319249314,-0.00014485794668550917,-0.007884307111914918,-0.0174364854499907,-0.017145700901510963,Credit,Fundamental Credit,18982
27,0.008324956186801673,-0.0024471676843063643,0.002811865379577949,-0.014439308018610379,-0.03863366790170846,Credit,Fundamental Credit,15682
28,-0.007422516677100751,0.008499998522738243,-0.01609332259371348,-0.021603522581306843,-0.021391405159432886,Credit,Fundamental Credit,17326
29,,,,-0.015007159403278465,-0.013901343613806887,Credit,Long/Short Credit,21289
30,0.000244192206680421,-0.0009470511348740224,0.0004187479344465552,-0.01721963168589757,-0.018606139576543106,Credit,Long/Short Credit,7681
31,-0.0019794513969880597,0.0021200614992988483,-0.005587106580050825,-0.01938842882804276,-0.022386040393058578,Credit,Long/Short Credit,87
32,0.002517027645196156,0.007581928523490306,-0.011722777839855963,-0.019959586299316663,-0.018156694291939914,Credit,Long/Short Credit,13353
33,0.00013312902214600113,0.003208500297336544,-0.010580498501223239,-0.01601687384821724,-0.03430280643498747,Credit,Long/Short Credit,7563
34,,,,-0.009826613083390626,-0.036833611321005655,Credit,Long/Short Credit,18670
35,,,,,,Credit,Specialist Credit,19003
36,,,,0.004235330613608342,-0.008523416893682524,Credit,Specialist Credit,18243
37,,0.06419239473449001,-0.03070744846746791,-0.016727223375153567,-0.0206983814977508,Credit,Specialist Credit,17038
38,,,,,-0.0030607850497828635,Credit,Specialist Credit,18486
39,,0.021353023571384473,0.014242637550174703,-0.014834895176681271,-0.01972741381344446,Credit,Specialist Credit,16874
40,,,,-0.008674443294039576,-0.01217707330706222,Credit,Specialist Credit,18414
41,0.008143447313634311,0.0033482877550687863,-7.606879000714753e-05,-0.009644694507929725,-0.005034838669714651,Credit,Specialist Credit,15934
42,,,,-0.004210281125369165,-0.009365277449378658,Credit,Specialist Credit,17967
43,0.006542313405997764,0.0051116934862632055,-0.003664074532200076,-0.010194014537929275,-0.011737862910558687,Credit,Specialist Credit,17239
44,,,-0.001774769081544887,-0.012392637591374132,-0.009772154510693618,Credit,Specialist Credit,17184
45,,0.0031641746714216445,-4.818359512625604e-05,-0.01214240854193702,-0.008486484403314837,Credit,Specialist Credit,16788
46,,,,-0.012873135581382113,-0.013050903100140197,Credit,Specialist Credit,18081
